#	Program:featureCounts	v2.1.1	Command:"featureCounts"	"-a"	"ref.gtf"	"-o"	"count.txt"	"-t"	"gene"	"-g"	"gene_id"	"-s"	"1"	"SRR10379721_1_trimmed_mapped.bam"	"SRR10379722_1_trimmed_mapped.bam"	"SRR10379723_1_trimmed_mapped.bam"	"SRR10379724_1_trimmed_mapped.bam"	"SRR10379725_1_trimmed_mapped.bam"	"SRR10379726_1_trimmed_mapped.bam"
Geneid	Chr	Start	End	Strand	Length	SRR10379721_1_trimmed_mapped.bam	SRR10379722_1_trimmed_mapped.bam	SRR10379723_1_trimmed_mapped.bam	SRR10379724_1_trimmed_mapped.bam	SRR10379725_1_trimmed_mapped.bam	SRR10379726_1_trimmed_mapped.bam
SAOUHSC_00167	NC_007795.1	180402	181994	-	1593	3910	2466	2790	631	762	198
SAOUHSC_00168	NC_007795.1	181951	183429	+	1479	176	122	98	66	67	15
SAOUHSC_00169	NC_007795.1	183435	184598	+	1164	209	119	128	90	108	27
SAOUHSC_00170	NC_007795.1	184615	186390	+	1776	788	373	431	291	484	92
SAOUHSC_00171	NC_007795.1	186428	188434	+	2007	1204	672	668	723	1008	269
SAOUHSC_00172	NC_007795.1	188732	189505	-	774	2620	2109	2214	419	397	24
SAOUHSC_00173	NC_007795.1	189695	190321	-	627	41005	24803	35288	1098	1469	86
SAOUHSC_00174	NC_007795.1	190530	191108	+	579	2945	3355	1790	1736	2407	489
SAOUHSC_00175	NC_007795.1	191491	192588	+	1098	296	251	178	238	364	76
SAOUHSC_00176	NC_007795.1	192601	193872	+	1272	773	729	543	140	256	60
SAOUHSC_00177	NC_007795.1	193875	195143	+	1269	935	951	695	166	334	80
SAOUHSC_00178	NC_007795.1	195145	195984	+	840	751	787	553	190	243	31
SAOUHSC_00179	NC_007795.1	196058	197134	+	1077	1437	1542	1056	324	532	221
SAOUHSC_00180	NC_007795.1	197159	198199	+	1041	1454	1503	1040	343	472	169
SAOUHSC_00181	NC_007795.1	198254	199222	+	969	1926	1968	1329	526	560	119
SAOUHSC_00182	NC_007795.1	199583	200155	-	573	664	429	460	870	974	43
SAOUHSC_00183	NC_007795.1	200310	201689	+	1380	3295	4664	3631	2282	1402	591
SAOUHSC_00184	NC_007795.1	202048	202806	-	759	501	280	389	518	585	94
SAOUHSC_00185	NC_007795.1	202799	204355	-	1557	723	453	479	820	1336	142
SAOUHSC_00186	NC_007795.1	204352	205320	-	969	331	203	218	645	750	108
SAOUHSC_00187	NC_007795.1	205908	208157	+	2250	12060	9739	6919	115862	174684	49123
SAOUHSC_00188	NC_007795.1	208180	208935	+	756	4064	3276	2101	30969	51647	19791
SAOUHSC_00189	NC_007795.1	208925	209233	+	309	74	49	44	199	466	60
SAOUHSC_00190	NC_007795.1	209271	211034	+	1764	1257	808	870	1507	2059	199
SAOUHSC_00191	NC_007795.1	211198	211542	-	345	4046	3277	2171	4803	4509	96
SAOUHSC_00192	NC_007795.1	211732	213642	+	1911	5649	8979	4999	5791	2844	287
SAOUHSC_00193	NC_007795.1	213824	213931	-	108	33	41	21	21	17	0
SAOUHSC_00195	NC_007795.1	214246	215430	-	1185	2894	5457	1965	789	1803	487
SAOUHSC_00196	NC_007795.1	215460	217721	-	2262	3671	8221	2428	1635	5369	568
SAOUHSC_00197	NC_007795.1	217907	219118	-	1212	1656	5109	1106	1764	5228	859
SAOUHSC_00198	NC_007795.1	219230	220735	-	1506	3034	7949	1752	7277	14140	1250
SAOUHSC_00199	NC_007795.1	220761	222338	-	1578	3885	9122	2062	23673	38287	4513
SAOUHSC_00200	NC_007795.1	222779	223921	+	1143	980	551	645	885	1256	167
SAOUHSC_00201	NC_007795.1	224235	225647	-	1413	2498	1250	1866	1259	1481	140
SAOUHSC_00202	NC_007795.1	225908	226264	-	357	98	45	29	233	388	72
SAOUHSC_00203	NC_007795.1	226421	226594	-	174	144	70	72	458	735	101
SAOUHSC_00204	NC_007795.1	226620	227765	-	1146	1718	1089	870	5708	10659	997
SAOUHSC_00205	NC_007795.1	227920	228027	+	108	55	34	41	28	42	3
SAOUHSC_00206	NC_007795.1	228482	229291	+	810	14466	13829	10665	132245	251348	57667
SAOUHSC_00208	NC_007795.1	229502	229645	+	144	55	49	55	115	95	10
SAOUHSC_00209	NC_007795.1	229611	231140	-	1530	1873	1401	997	1500	941	564
SAOUHSC_00211	NC_007795.1	231502	232437	+	936	291	193	195	424	542	280
SAOUHSC_00212	NC_007795.1	232547	232645	+	99	3	2	0	0	0	0
SAOUHSC_00213	NC_007795.1	232776	234872	+	2097	260	180	162	130	134	20
SAOUHSC_00214	NC_007795.1	234857	235324	+	468	88	46	47	22	21	3
SAOUHSC_00215	NC_007795.1	235347	235625	+	279	59	45	49	21	23	2
SAOUHSC_00216	NC_007795.1	235852	237111	+	1260	390	244	234	164	160	24
SAOUHSC_00217	NC_007795.1	237129	238184	+	1056	529	316	307	243	263	74
SAOUHSC_00218	NC_007795.1	238186	238332	+	147	30	19	17	15	12	6
SAOUHSC_00219	NC_007795.1	238356	239399	+	1044	989	549	535	439	467	176
SAOUHSC_00220	NC_007795.1	239969	240643	+	675	893	889	494	2488	3811	1235
SAOUHSC_00221	NC_007795.1	240636	241661	+	1026	1419	1275	843	3474	4411	530
SAOUHSC_00222	NC_007795.1	241836	243377	+	1542	2781	2160	1829	4935	6922	1166
SAOUHSC_00223	NC_007795.1	243805	244974	+	1170	2045	1691	1140	1672	2620	347
SAOUHSC_00225	NC_007795.1	245250	245966	+	717	2878	2321	1914	3057	3294	522
SAOUHSC_00226	NC_007795.1	245959	246984	+	1026	6519	5014	4757	6412	9212	1304
SAOUHSC_00227	NC_007795.1	247006	248694	+	1689	14985	11330	11807	12785	20246	2366
SAOUHSC_00228	NC_007795.1	248727	250451	+	1725	33040	26016	27074	21428	32460	6675
SAOUHSC_00229	NC_007795.1	250591	251265	+	675	708	487	480	1601	3801	503
SAOUHSC_00230	NC_007795.1	251527	253266	+	1740	991	840	662	5245	7404	1083
SAOUHSC_00231	NC_007795.1	253269	254009	+	741	211	130	117	553	975	70
SAOUHSC_00232	NC_007795.1	254122	254565	+	444	127	193	119	339	2325	177
SAOUHSC_00233	NC_007795.1	254558	255259	+	702	855	975	531	1055	4927	1696
SAOUHSC_00234	NC_007795.1	255367	256071	-	705	1348	1042	913	790	994	64
SAOUHSC_00235	NC_007795.1	256220	257011	+	792	633	367	354	122	244	17
SAOUHSC_00236	NC_007795.1	257027	258463	+	1437	1028	735	651	209	322	102
SAOUHSC_00237	NC_007795.1	258896	259657	-	762	169	117	86	134	181	18
SAOUHSC_00238	NC_007795.1	259676	259810	+	135	38	15	28	12	14	2
SAOUHSC_00239	NC_007795.1	259908	260822	-	915	2470	2223	1237	1819	3587	941
SAOUHSC_00240	NC_007795.1	260850	261254	-	405	976	913	541	708	1676	129
SAOUHSC_00241	NC_007795.1	261269	262150	-	882	1986	1780	999	1413	1744	848
SAOUHSC_00242	NC_007795.1	262382	263380	-	999	889	811	589	1757	2152	554
SAOUHSC_00243	NC_007795.1	263531	263710	+	180	216	70	152	65	43	0
SAOUHSC_00244	NC_007795.1	263760	264152	+	393	946	555	867	310	409	16
SAOUHSC_00246	NC_007795.1	264825	266201	-	1377	2559	2206	1387	1543	1257	137
SAOUHSC_00247	NC_007795.1	266435	267427	+	993	801	602	520	481	745	122
SAOUHSC_00248	NC_007795.1	267753	268703	+	951	1714	1530	1230	1142	1644	747
SAOUHSC_00249	NC_007795.1	268755	269414	-	660	473	293	316	271	312	24
SAOUHSC_00250	NC_007795.1	269428	270348	-	921	374	223	274	223	288	14
SAOUHSC_00251	NC_007795.1	270345	271511	-	1167	139	85	99	123	122	7
SAOUHSC_00253	NC_007795.1	271579	273102	-	1524	1877	1071	1497	645	663	32
SAOUHSC_00254	NC_007795.1	273373	274026	+	654	86	60	71	79	57	3
SAOUHSC_00255	NC_007795.1	274060	274647	+	588	458	239	332	178	196	22
SAOUHSC_00256	NC_007795.1	274790	275683	-	894	1748	1258	1293	976	1199	412
SAOUHSC_00257	NC_007795.1	275931	276224	+	294	4044	3753	2590	2299	2991	1722
SAOUHSC_00258	NC_007795.1	276308	279337	+	3030	3565	2725	2586	1000	1065	83
SAOUHSC_00259	NC_007795.1	279337	279795	+	459	641	370	504	132	113	7
SAOUHSC_00260	NC_007795.1	279728	280009	+	282	12	12	11	6	7	0
SAOUHSC_00261	NC_007795.1	280022	281356	+	1335	213	115	135	101	124	5
SAOUHSC_00262	NC_007795.1	281378	285817	+	4440	1387	835	922	716	727	116
SAOUHSC_00264	NC_007795.1	285847	286239	+	393	104	57	71	68	79	11
SAOUHSC_00265	NC_007795.1	286255	286569	+	315	128	82	66	88	68	55
SAOUHSC_00266	NC_007795.1	286569	287243	+	675	206	110	133	104	131	16
SAOUHSC_00267	NC_007795.1	287243	287560	+	318	91	65	61	60	70	21
SAOUHSC_00268	NC_007795.1	287570	289414	+	1845	2167	1656	1502	2878	4226	1448
SAOUHSC_00269	NC_007795.1	289425	289916	+	492	1392	933	994	3381	5174	504
SAOUHSC_00270	NC_007795.1	290124	290807	+	684	174	109	133	294	452	50
SAOUHSC_00271	NC_007795.1	290954	291565	+	612	126	67	54	208	353	29
SAOUHSC_00272	NC_007795.1	291701	291919	+	219	1332	607	876	472	272	21
SAOUHSC_00274	NC_007795.1	292051	292551	+	501	104	57	59	83	118	19
SAOUHSC_00275	NC_007795.1	292562	293062	+	501	137	113	104	161	322	25
SAOUHSC_00276	NC_007795.1	293073	293573	+	501	130	111	104	158	326	23
SAOUHSC_00277	NC_007795.1	293584	294084	+	501	114	98	78	139	293	40
SAOUHSC_00278	NC_007795.1	294095	294583	+	489	150	60	76	132	194	24
SAOUHSC_00279	NC_007795.1	295206	295580	+	375	1926	1266	1620	606	772	52
SAOUHSC_00280	NC_007795.1	295733	296131	+	399	2646	1569	2079	882	1029	199
SAOUHSC_00281	NC_007795.1	296347	297171	-	825	661	508	505	2540	5209	925
SAOUHSC_00282	NC_007795.1	297408	298685	-	1278	9524	6251	4084	12459	13473	1710
SAOUHSC_00284	NC_007795.1	299299	300189	+	891	550	303	353	342	421	41
SAOUHSC_00285	NC_007795.1	300438	301487	+	1050	3841	4636	3082	7478	10580	1280
SAOUHSC_00287	NC_007795.1	301500	302177	+	678	3842	4050	2841	6996	10358	2826
SAOUHSC_00289	NC_007795.1	302336	302476	-	141	11	11	8	2	1	0
SAOUHSC_00290	NC_007795.1	302466	303416	+	951	4398	3303	3358	4010	6278	1206
SAOUHSC_00291	NC_007795.1	303759	304877	+	1119	217	179	108	427	1067	100
SAOUHSC_00292	NC_007795.1	304852	305775	+	924	401	317	249	541	1270	231
SAOUHSC_00293	NC_007795.1	305786	307006	+	1221	897	544	495	749	1207	150
SAOUHSC_00294	NC_007795.1	307111	308643	-	1533	3641	3753	2413	1731	1196	206
SAOUHSC_00295	NC_007795.1	308683	309564	-	882	1839	2314	1336	1538	1113	192
SAOUHSC_00296	NC_007795.1	309722	310582	+	861	1155	1062	837	1041	1773	517
SAOUHSC_00297	NC_007795.1	310860	311660	-	801	1295	952	678	2292	3415	682
SAOUHSC_00298	NC_007795.1	311800	312468	+	669	2638	2282	1774	1039	1240	276
SAOUHSC_00299	NC_007795.1	312595	313908	-	1314	469	302	286	423	859	59
SAOUHSC_00300	NC_007795.1	314326	316398	+	2073	71573	61903	51281	44259	60164	23473
SAOUHSC_00301	NC_007795.1	316640	317467	-	828	1376	912	887	1492	1783	307
SAOUHSC_00302	NC_007795.1	317540	318739	-	1200	876	508	601	1086	1462	272
SAOUHSC_00303	NC_007795.1	318835	318927	+	93	45	24	31	38	68	5
SAOUHSC_00304	NC_007795.1	319041	320042	+	1002	447	292	222	420	520	110
SAOUHSC_00305	NC_007795.1	320076	320408	+	333	215	151	126	156	265	39
SAOUHSC_00306	NC_007795.1	320409	321209	+	801	465	354	254	362	405	76
SAOUHSC_00307	NC_007795.1	321199	322143	+	945	584	400	284	387	533	135
SAOUHSC_00308	NC_007795.1	322121	323143	+	1023	758	504	429	447	747	170
SAOUHSC_00309	NC_007795.1	323458	324483	+	1026	3325	3242	2075	8270	8932	3309
SAOUHSC_00310	NC_007795.1	324576	325922	-	1347	2257	2807	1571	2075	1471	320
SAOUHSC_00311	NC_007795.1	325937	326221	-	285	316	499	254	425	266	108
SAOUHSC_00312	NC_007795.1	326223	326666	-	444	566	833	378	736	404	87
SAOUHSC_00313	NC_007795.1	326671	328626	-	1956	1934	2976	1478	5669	2324	521
SAOUHSC_00314	NC_007795.1	328838	329257	+	420	10068	8069	5897	4275	5000	513
SAOUHSC_00315	NC_007795.1	329364	330719	+	1356	5410	4438	3108	580	575	45
SAOUHSC_00316	NC_007795.1	330823	331263	+	441	2112	1510	1375	350	401	29
SAOUHSC_00317	NC_007795.1	331346	332704	-	1359	4184	3142	2641	4054	9079	1856
SAOUHSC_00318	NC_007795.1	333012	333938	+	927	839	844	750	1305	2476	585
SAOUHSC_00319	NC_007795.1	333952	335013	+	1062	2488	1981	2046	2497	4357	1457
SAOUHSC_00320	NC_007795.1	335027	335593	+	567	1649	1237	1205	1265	2022	308
SAOUHSC_00322	NC_007795.1	335653	336648	-	996	307	227	182	691	596	114
SAOUHSC_00323	NC_007795.1	336647	337054	+	408	114	66	81	66	70	47
SAOUHSC_00324	NC_007795.1	337067	337612	+	546	557	421	340	2937	7529	1211
