Id;Name;Name.NCBI;entrez;product;ctrl4;ctrl5;ctrl6;IP1;IP2;IP3;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
gene1008;SAOUHSC_01047;ABD30167.1;3919895;spermidine/putrescine ABC transporter permease protein putative;653;1050;88;1174;1160;1185;733.4777863;1.06996019;0.301051783;3.554073591;0.000379313;0.001106713
gene1009;SAOUHSC_01048;ABD30168.1;3919896;spermidine/putrescine ABC transporter permease protein putative;1291;1845;108;2516;2412;2441;1439.546288;1.376270981;0.376633293;3.654140533;0.000258045;0.000778402
gene101;SAOUHSC_00108;ABD29289.1;3919817;conserved hypothetical protein;5;18;0;24;14;14;9.395144634;1.312974513;0.807877674;1.625214504;0.104116861;0.1603467
gene1010;SAOUHSC_01049;ABD30169.1;3921714;spermidine/putrescine ABC transporter spermidine/putrescine-binding protein putative;4973;5903;4233;6681;6222;5655;6612.119826;-0.619591174;0.62206873;-0.996017231;0.319241773;0.413955209
gene1011;SAOUHSC_01050;ABD30170.1;3921715;conserved hypothetical protein;32213;47986;6471;38284;28783;30241;26243.64864;0.095847317;0.199878417;0.479528097;0.631562985;0.708219495
gene1012;SAOUHSC_01051;ABD30171.1;3921716;conserved hypothetical protein;3643;5040;609;1256;870;674;1698.120398;-1.778986758;0.234105579;-7.599078871;2.98E-14;4.74E-13
gene1013;SAOUHSC_01053;ABD30172.1;3921717;conserved hypothetical protein;2980;3979;445;2087;1452;1376;1704.249679;-0.599713144;0.210921486;-2.843300398;0.004464897;0.010112547
gene1014;SAOUHSC_01054;ABD30173.1;3921718;conserved hypothetical protein;2082;2338;256;1353;864;563;1013.728301;-0.764739691;0.314247825;-2.433556036;0.014951321;0.029514296
gene1015;SAOUHSC_01055;ABD30174.1;3921719;inositol monophosphatase family protein putative;8976;9228;3412;19639;14895;12639;10751.06026;0.624358479;0.414761372;1.505343847;0.132235698;0.196095864
gene1016;SAOUHSC_01057;ABD30175.1;NA;hypothetical protein;2855;3309;421;2174;1725;1610;1698.097859;-0.284117524;0.190852786;-1.488673702;0.136573313;0.201219486
gene1017;SAOUHSC_01058;ABD30176.1;3921721;GTP-binding protein TypA putative;14531;11769;2402;21364;14983;17635;11959.79912;0.76241125;0.268689518;2.837517649;0.004546583;0.010289042
gene1018;SAOUHSC_01060;ABD30177.1;3921722;conserved hypothetical protein;1109;1236;134;872;744;610;646.8037398;-0.133142252;0.246340089;-0.540481462;0.588865042;0.671306148
gene1019;SAOUHSC_01061;ABD30178.1;3921723;conserved hypothetical protein;2594;2763;244;2058;1497;1474;1426.770366;-0.070804072;0.298990217;-0.236810665;0.812803678;0.855648658
gene102;SAOUHSC_00109;ABD29290.1;3919818;replication initiation protein putative;48;57;3;132;55;86;50.23128205;1.387806776;0.467628037;2.967757846;0.002999806;0.007093749
gene1020;SAOUHSC_01062;ABD30179.1;3921724;conserved hypothetical protein;6692;4898;350;2891;2334;1940;2474.919426;-0.578434919;0.43883228;-1.318122994;0.187462478;0.26382689
gene1021;SAOUHSC_01063;ABD30180.1;3921725;conserved hypothetical protein;6260;7543;871;4906;3523;3394;3670.903441;-0.31605251;0.205386452;-1.538818687;0.123848567;0.185366345
gene1022;SAOUHSC_01064;ABD30181.1;3921726;pyruvate carboxylase;53763;51816;13001;18644;14671;12149;26276.64625;-1.666964232;0.29654857;-5.621218244;1.90E-08;1.30E-07
gene1023;SAOUHSC_01065;ABD30182.1;3921727;heme A synthase putative;7609;8569;2028;5548;4241;3739;4946.084793;-0.71242938;0.290179504;-2.455133355;0.014083233;0.028063894
gene1024;SAOUHSC_01066;ABD30183.1;3921728;protoheme IX farnesyltransferase;9685;10740;1814;3829;4479;2618;4907.772512;-1.139275814;0.28689807;-3.971012479;7.16E-05;0.000240257
gene1025;SAOUHSC_01067;ABD30184.1;3921729;conserved hypothetical protein;6528;8462;433;2910;2808;2084;2946.107133;-0.770335956;0.41970372;-1.835427989;0.0664423;0.109049869
gene1026;SAOUHSC_01068;ABD30185.1;3921730;conserved hypothetical protein;236;458;35;80;60;102;129.0814924;-1.47914552;0.405741542;-3.645536301;0.000266835;0.000802264
gene1027;SAOUHSC_01069;ABD30186.1;3921731;conserved hypothetical protein;5111;6241;669;3556;2889;2311;2853.310133;-0.437894995;0.232165847;-1.886130111;0.059277424;0.098591508
gene1028;SAOUHSC_01070;ABD30187.1;3921732;conserved hypothetical protein;2312;2571;402;1904;1507;1238;1428.977238;-0.28605569;0.199810687;-1.43163358;0.152248714;0.219839013
gene1029;SAOUHSC_01071;ABD30188.1;3921733;glycerophosphoryl diester phosphodiesterase putative;2378;3844;670;1518;1131;862;1578.004811;-1.179142899;0.287097489;-4.107116725;4.01E-05;0.000143284
gene103;SAOUHSC_00110;ABD29291.1;NA;truncated replication initiation protein putative;48;82;5;87;47;59;43.25655042;0.565422672;0.424800877;1.331029906;0.183179171;0.258739397
gene1030;SAOUHSC_01072;ABD30189.1;3919235;conserved hypothetical protein;1009;1018;35;489;395;264;395.743507;-0.601665196;0.540482545;-1.113200048;0.265622522;0.354584847
gene1031;SAOUHSC_01073;ABD30190.1;3919236;conserved hypothetical protein;987;1168;76;582;366;386;460.9129526;-0.606770133;0.367426035;-1.651407563;0.098655382;0.153364275
gene1032;SAOUHSC_01074;ABD30191.1;3919237;conserved hypothetical protein;1053;1657;369;1262;771;969;945.4942542;-0.342080176;0.345212121;-0.990927476;0.321720995;0.416380625
gene1033;SAOUHSC_01075;ABD30192.1;3919238;pantetheine-phosphate adenylyltransferase;1835;2266;346;2619;1559;2017;1520.650207;0.373120103;0.233096763;1.600709069;0.109441371;0.167093523
gene1034;SAOUHSC_01076;ABD30193.1;3919239;conserved hypothetical protein;1351;1729;125;1186;928;786;807.6118022;-0.025563574;0.325032335;-0.078649326;0.937311552;0.954049259
gene1035;SAOUHSC_01077;ABD30194.1;3919240;conserved hypothetical protein;20336;18199;1617;38836;32614;34609;20079.62232;1.51949951;0.342836792;4.432136642;9.33E-06;3.86E-05
gene1036;SAOUHSC_A01041;ABD32050.1;NA;hypothetical protein;808;2340;229;1440;1249;2070;1153.682373;0.534425511;0.43028088;1.242038714;0.214222279;0.295568409
gene1037;SAOUHSC_01078;ABD30195.1;NA;ribosomal protein L32;1963;1274;234;2675;2005;2273;1479.761907;0.934265259;0.317167467;2.945652865;0.003222739;0.007542697
gene1038;SAOUHSC_01079;ABD30196.1;3919242;neurofilament protein;518;470;75;1873;1340;1427;800.4417361;2.04802902;0.23969695;8.544243138;1.29E-17;2.77E-16
gene1039;SAOUHSC_01081;ABD30197.1;3919243;conserved hypothetical protein;1614;2922;406;1022;630;587;1046.334954;-1.270409206;0.277291374;-4.581495585;4.62E-06;2.04E-05
gene104;SAOUHSC_00111;ABD29292.1;3919820;hypothetical protein;58;37;59;22;19;19;58.64529099;-2.52752574;0.814050636;-3.104875332;0.001903592;0.004760721
gene1040;SAOUHSC_01082;ABD30198.1;3919244;conserved hypothetical protein;368;417;38;276;209;186;201.0565736;-0.249971361;0.290185795;-0.861418325;0.389007687;0.481712756
gene1041;SAOUHSC_01084;ABD30199.1;3919245;conserved hypothetical protein;357;509;17;481;284;322;250.8664338;0.531814717;0.491357859;1.08233685;0.279102878;0.36943661
gene1042;SAOUHSC_01085;ABD30200.1;3919246;conserved hypothetical protein;205;252;18;420;273;251;189.4909132;1.05822975;0.33286483;3.179157591;0.001477038;0.003787418
gene1043;SAOUHSC_01086;ABD30201.1;3919247;iron compound ABC transporter permease protein putative;108;145;17;207;128;144;103.9088712;0.78204109;0.286186345;2.732628946;0.006283107;0.013686769
gene1044;SAOUHSC_01087;ABD30202.1;3919248;iron compound ABC transporter permease protein;44;50;6;89;63;71;44.97154348;1.113523568;0.355613333;3.131276203;0.001740484;0.004392956
gene1045;SAOUHSC_01088;ABD30203.1;3919249;conserved hypothetical protein;77;103;13;150;85;108;74.82678036;0.76905257;0.320155655;2.40212084;0.016300323;0.031855488
gene1046;SAOUHSC_01089;ABD30204.1;3919250;conserved hypothetical protein;56;103;3;149;70;113;64.02651409;1.205042016;0.511741414;2.354786975;0.018533327;0.035848209
gene1047;SAOUHSC_01090;ABD30205.1;3919251;conserved hypothetical protein;7;12;0;14;5;5;5.121282598;0.412487524;0.938002761;0.439750863;0.66011756;0.731503298
gene1048;SAOUHSC_01091;ABD30206.1;3919252;conserved hypothetical protein;4562;4802;683;2408;1824;1702;2272.657533;-0.817270005;0.193393151;-4.225951135;2.38E-05;8.94E-05
gene1049;SAOUHSC_01092;ABD30207.1;3919253;phenylalanyl-tRNA synthetase alpha subunit;1429;1630;418;1063;915;680;972.7546144;-0.705922312;0.327719988;-2.154041062;0.031236952;0.056524008
gene105;SAOUHSC_00112;ABD29293.1;NA;transposase IS200 family putative;35;47;1;52;18;25;21.91042621;0.309274867;0.623093502;0.496353864;0.61964477;0.698248801
gene1050;SAOUHSC_01093;ABD30208.1;3920736;phenylalanyl-tRNA synthetase beta subunit;7981;10078;1608;5273;3758;3505;4706.460827;-0.779484606;0.195152019;-3.994243105;6.49E-05;0.000220184
gene1051;SAOUHSC_01095;ABD30209.1;3920737;ribonuclease HIII;974;1063;273;745;533;428;633.538211;-0.757635458;0.324946351;-2.331570905;0.019723276;0.03786869
gene1052;SAOUHSC_01096;ABD30210.1;3920738;conserved hypothetical protein;1700;2070;202;1506;1215;1088;1060.86043;-0.01175831;0.249070434;-0.047208776;0.962346833;0.970863177
gene1053;SAOUHSC_01097;ABD30211.1;3920739;conserved hypothetical protein;2186;2137;88;2621;1928;1687;1378.059688;0.730305462;0.498081151;1.466237903;0.142583486;0.208614127
gene1054;SAOUHSC_01098;ABD30212.1;3920740;DNA-dependent DNA polymerase beta chain putative;4354;4061;331;5606;4354;3162;2922.348693;0.690323273;0.361567211;1.909252972;0.056229466;0.094324843
gene1055;SAOUHSC_01099;ABD30213.1;3920741;DNA mismatch repair MutS2 family protein;9027;8893;1506;10272;8393;6611;6415.600596;0.264331943;0.219419914;1.204685292;0.228324816;0.312348349
gene1056;SAOUHSC_01100;ABD30214.1;3920742;thioredoxin;16075;13644;1383;9490;7659;4173;7017.170938;-0.494923467;0.37555245;-1.31785445;0.187552376;0.26382689
gene1057;SAOUHSC_01101;ABD30215.1;3920743;conserved hypothetical protein;169;215;4;186;117;130;102.5434777;0.425704509;0.579259832;0.73491115;0.462393608;0.553900574
gene1058;SAOUHSC_01102;ABD30216.1;3920744;excinuclease ABC C subunit;6538;8137;1654;4982;4588;3249;4435.893895;-0.572844888;0.27849302;-2.056945229;0.039691495;0.069578901
gene1059;SAOUHSC_01103;ABD30217.1;3920745;succinate dehydrogenase cytochrome b-558 subunit putative;12777;12360;1375;8367;8535;5899;6780.231685;-0.173122942;0.291387083;-0.594133893;0.552422564;0.636927153
gene106;SAOUHSC_00113;ABD29294.1;3919822;alcohol dehydrogenase iron-containing putative;8755;21558;5736;3072;1936;1917;7899.968851;-2.868726704;0.476953785;-6.01468485;1.80E-09;1.41E-08
gene1060;SAOUHSC_01104;ABD30218.1;3920746;succinate dehydrogenase flavoprotein chain TC0881 putative;49951;57040;20077;52276;52519;37433;44715.28424;-0.319890579;0.423234541;-0.755823422;0.449755072;0.54160646
gene1061;SAOUHSC_01105;ABD30219.1;3920747;iron-sulphur subunit of succinate dehydrogenase putative;30346;27606;5684;38713;36160;27219;24241.5139;0.509399229;0.261049767;1.951349107;0.051015531;0.086266065
gene1062;SAOUHSC_01106;ABD30220.1;3920748;glutamate racemase;7465;9316;2110;4597;4200;2730;4779.381259;-0.993437213;0.318518634;-3.118929658;0.001815093;0.004568624
gene1063;SAOUHSC_01107;ABD30221.1;3920749;conserved hypothetical protein;4335;4865;525;3097;2623;1844;2367.70451;-0.340713222;0.262611622;-1.29740344;0.19449241;0.271911718
gene1064;SAOUHSC_01108;ABD30222.1;3920750;conserved hypothetical protein;4678;5730;284;3485;3201;1987;2481.012415;-0.09625714;0.44388702;-0.21685054;0.828324824;0.869979546
gene1065;SAOUHSC_01109;ABD30223.1;3920751;conserved hypothetical protein;5;2;0;1;0;2;1.205124555;-1.110042168;1.864935454;-0.595217473;0.551698112;0.636360048
gene1066;SAOUHSC_01110;ABD30224.1;3920752;fibrinogen-binding protein-related;21228;8969;249;14987;9870;7883;7964.310459;0.355432035;0.736318227;0.482715247;0.629297936;0.707087948
gene1067;SAOUHSC_01111;ABD30225.1;3920753;hypothetical protein;12;1;2;8;9;6;6.079454889;0.320801916;1.029197166;0.311701126;0.755267672;0.810677637
gene1068;SAOUHSC_01112;ABD30226.1;3920754;conserved hypothetical protein;1356;753;23;1657;1234;1075;793.0078891;1.152772093;0.653854969;1.763039431;0.07789384;0.125068982
gene1069;SAOUHSC_01113;ABD30227.1;3920755;conserved hypothetical protein;541;551;40;1158;711;1199;573.4723716;1.578387812;0.401141493;3.934740827;8.33E-05;0.000275949
gene107;SAOUHSC_00114;ABD29295.1;3919823;capsular polysaccharide biosynthesis protein putative;6070;11190;1017;1437;1570;1036;3023.878148;-2.116989158;0.308536814;-6.861382707;6.82E-12;7.58E-11
gene1070;SAOUHSC_01114;ABD30228.1;3920717;fibrinogen-binding protein;9168;4840;462;7290;5161;4296;4142.357929;0.321502968;0.469537214;0.684723081;0.493518682;0.585037744
gene1071;SAOUHSC_01115;ABD30229.1;3920718;conserved hypothetical protein;5897;3382;142;4956;3198;3028;2639.427632;0.473453009;0.600584474;0.788320427;0.430509302;0.521875698
gene1072;SAOUHSC_01118;ABD30230.1;3920719;conserved hypothetical protein;650;567;369;676;484;392;592.6994517;-0.821715526;0.562543883;-1.460713647;0.144094042;0.210374226
gene1073;SAOUHSC_A01079;ABD32051.1;NA;hypothetical protein;36;22;9;57;51;44;33.62481006;0.923774286;0.491671603;1.878844092;0.060265785;0.100113653
gene1074;SAOUHSC_01119;ABD30231.1;3920720;conserved hypothetical protein;330;211;22;238;99;154;140.2512636;-0.157998107;0.45576987;-0.346662027;0.728845241;0.789125675
gene1075;SAOUHSC_A01081;ABD32052.1;3921686;conserved hypothetical protein;320;417;67;62;46;113;154.2084337;-1.933061758;0.443693117;-4.35675399;1.32E-05;5.26E-05
gene1076;SAOUHSC_01120;ABD30232.1;3920721;conserved hypothetical protein;1851;1786;116;1018;781;758;819.1794267;-0.390439533;0.396212563;-0.985429462;0.324413164;0.41880041
gene1077;SAOUHSC_01121;ABD30233.1;3920722;alpha-hemolysin precursor;33149;30615;2880;581517;377266;419895;199388.6955;4.450736436;0.32123408;13.8551191;1.18E-43;2.00E-41
gene1078;SAOUHSC_01122;ABD30234.1;3920723;conserved hypothetical protein;2;1;0;6;5;6;2.725757058;2.385025921;1.254136197;1.901728;0.057206723;0.095670902
gene1079;SAOUHSC_01123;ABD30235.1;3920724;conserved hypothetical protein;638;333;8;2138;1477;1840;872.7989759;2.756362386;0.690111152;3.99408469;6.49E-05;0.000220184
gene108;SAOUHSC_00115;ABD29296.1;3919824;capsular polysaccharide synthesis enzyme Cap5B;6994;12943;2252;1834;2062;1261;4289.852959;-2.303233428;0.34446167;-6.686472337;2.29E-11;2.39E-10
gene1080;SAOUHSC_01124;ABD30236.1;3920725;conserved hypothetical protein;430;533;42;1184;817;1065;557.9182853;1.705843061;0.319833142;5.333540634;9.63E-08;5.88E-07
gene1081;SAOUHSC_01125;ABD30237.1;3920726;conserved hypothetical protein;293;312;23;748;498;642;342.6122064;1.690694514;0.349898695;4.831954326;1.35E-06;6.71E-06
gene1082;SAOUHSC_01127;ABD30238.1;3920727;conserved hypothetical protein;344;413;37;756;590;614;377.9390528;1.357719757;0.274700437;4.942546761;7.71E-07;4.04E-06
gene1083;SAOUHSC_01128;ABD30239.1;3920728;ornithine carbamoyltransferase;392;414;78;983;811;735;490.1189282;1.375002538;0.232789643;5.906631079;3.49E-09;2.64E-08
gene1084;SAOUHSC_01129;ABD30240.1;3920729;carbamate kinase;567;762;168;2083;1478;1561;963.148472;1.513501637;0.295203615;5.126975287;2.94E-07;1.67E-06
gene1085;SAOUHSC_01130;ABD30241.1;3920730;conserved hypothetical protein;2790;4084;1462;4022;3287;3211;3171.763076;-0.21025459;0.456001343;-0.461083269;0.644738865;0.719121701
gene1086;SAOUHSC_01131;ABD30242.1;3920731;conserved hypothetical protein;1329;1189;42;853;640;716;604.6275521;0.050515135;0.544027264;0.092854051;0.92601951;0.946075198
gene1087;SAOUHSC_01133;ABD30243.1;3920732;conserved hypothetical protein;1631;1764;216;767;589;600;776.1719323;-0.891710926;0.220248008;-4.048667376;5.15E-05;0.000179074
gene1088;SAOUHSC_01134;ABD30244.1;3920733;conserved hypothetical protein;203;234;9;119;65;62;85.33664047;-0.685473559;0.499021961;-1.373634053;0.16955532;0.242120749
gene1089;SAOUHSC_T0006;NA;NA;NA;488;380;96;275;356;115;261.5624912;-0.599527502;0.461738617;-1.298413171;0.194145396;0.271565339
gene109;SAOUHSC_00116;ABD29297.1;3919825;capsular polysaccharide synthesis enzyme Cap8C;6873;15457;2331;2184;2537;1512;4719.314157;-2.136546287;0.367995598;-5.80590175;6.40E-09;4.68E-08
gene1090;SAOUHSC_01135;ABD30245.1;3920734;conserved hypothetical protein;1284;1059;150;34762;12982;28558;10858.32594;4.898479692;0.395335147;12.39070124;2.93E-35;2.77E-33
gene1091;SAOUHSC_01136;ABD30246.1;3920735;conserved hypothetical protein;2276;873;719;56866;24857;44705;18248.22796;4.38520893;0.588581595;7.450469003;9.30E-14;1.38E-12
gene1092;SAOUHSC_01137;ABD30247.1;3920697;conserved hypothetical protein;1089;1512;178;2698;1514;2447;1318.912696;1.245107974;0.289564053;4.299939731;1.71E-05;6.67E-05
gene1093;SAOUHSC_01138;ABD30248.1;3920698;conserved hypothetical protein;4807;6451;355;6686;4667;5270;3724.075455;0.708407235;0.392312752;1.805720645;0.070961986;0.115360662
gene1094;SAOUHSC_01139;ABD30249.1;3920699;conserved hypothetical protein;694;950;20;1813;1169;1746;847.0426144;1.831241945;0.597523204;3.064721057;0.002178731;0.005365444
gene1095;SAOUHSC_01140;ABD30250.1;NA;hypothetical protein;621;591;352;1480;1101;1277;906.2445531;0.566346276;0.544928863;1.039303136;0.298663777;0.390978035
gene1096;SAOUHSC_01141;ABD30251.1;3920701;conserved hypothetical protein;7065;6440;834;23517;16665;21624;10656.5911;2.113678058;0.274098381;7.711384693;1.24E-14;2.04E-13
gene1097;SAOUHSC_01142;ABD30252.1;3920702;conserved hypothetical protein;34586;24005;3583;10341;9159;5845;12236.14599;-1.318517985;0.335102069;-3.934675748;8.33E-05;0.000275949
gene1098;SAOUHSC_01143;ABD30253.1;3920703;S-adenosyl-methyltransferase MraW;41400;39279;13620;11631;10214;6755;21728.52256;-2.16792647;0.401514352;-5.399374789;6.69E-08;4.27E-07
gene1099;SAOUHSC_01144;ABD30254.1;3920704;conserved hypothetical protein;7463;9437;969;4819;3280;2925;3936.166386;-0.677232178;0.240517512;-2.815729184;0.004866667;0.010896237
gene11;SAOUHSC_00013;ABD29203.1;3919185;conserved hypothetical protein;4704;8941;1891;1349;1315;994;3188.205649;-2.38604474;0.368642638;-6.47251428;9.64E-11;9.06E-10
gene110;SAOUHSC_00117;ABD29298.1;3919826;capsular polysaccharide biosynthesis protein Cap5D putative;11066;23265;8748;4540;5362;2840;11202.66078;-2.401482112;0.559434966;-4.292692197;1.77E-05;6.85E-05
gene1100;SAOUHSC_01145;ABD30255.1;3920705;penicillin-binding protein 1;19370;15934;4242;15698;12190;10292;11924.98468;-0.329421304;0.308300969;-1.068505576;0.285292516;0.37563057
gene1101;SAOUHSC_01146;ABD30256.1;3920706;phospho-N-acetylmuramoyl-pentapeptide-transferase;2364;1555;452;1690;1438;1191;1329.950717;-0.275545184;0.341455198;-0.806973169;0.419681941;0.51146984
gene1102;SAOUHSC_01147;ABD30257.1;3920707;UDP-N-acetylmuramoylalanine--D-glutamate ligase;5984;5587;938;4255;3611;2767;3337.119865;-0.33646296;0.232245198;-1.448740224;0.147410143;0.214073328
gene1103;SAOUHSC_01148;ABD30258.1;3920708;cell division protein putative;10257;12915;1853;6945;6253;5201;6244.242526;-0.516133452;0.189728298;-2.720382022;0.006520654;0.014159133
gene1104;SAOUHSC_01149;ABD30259.1;3920709;cell division protein putative;53145;68869;5726;23383;23144;16317;25377.39277;-0.919904884;0.305935899;-3.006854985;0.002639657;0.006363084
gene1105;SAOUHSC_01150;ABD30260.1;3920710;cell division protein FtsZ;89323;102630;44023;43095;38375;28621;65257.83506;-1.706974106;0.476314802;-3.58370997;0.000338748;0.000998723
gene1106;SAOUHSC_01152;ABD30261.1;3920711;conserved hypothetical protein;2923;4175;347;2321;2014;1577;1793.273001;-0.245435478;0.285289829;-0.860302237;0.38962246;0.481920005
gene1107;SAOUHSC_01153;ABD30262.1;3920712;conserved hypothetical protein;18053;20515;1417;16384;14720;13225;11216.67389;0.308862055;0.355618598;0.868520537;0.385109434;0.478066884
gene1108;SAOUHSC_01154;ABD30263.1;3920713;conserved hypothetical protein;21514;20828;5993;23307;22004;18135;17424.75404;0.057202982;0.339084269;0.168698423;0.866033859;0.900720367
gene1109;SAOUHSC_01155;ABD30264.1;3920714;conserved hypothetical protein;6451;4987;517;7046;5135;6699;4225.040206;0.74900409;0.358729872;2.087933428;0.03680384;0.065429049
gene111;SAOUHSC_00118;ABD29299.1;3919827;capsular polysaccharide biosynthesis protein Cap5E putative;5609;13718;4275;2516;2862;1706;5841.858458;-2.288364192;0.531312561;-4.307001866;1.65E-05;6.49E-05
gene1110;SAOUHSC_01156;ABD30265.1;3920715;conserved hypothetical protein;5526;7506;267;7455;6462;6168;4349.547699;0.870481392;0.491889139;1.769669876;0.076782151;0.123604618
gene1111;SAOUHSC_01158;ABD30266.1;3920716;conserved hypothetical protein;20512;26911;5277;28675;21688;23578;18836.74926;0.277799975;0.258845645;1.073226382;0.283169556;0.3735226
gene1112;SAOUHSC_01159;ABD30267.1;3920911;isoleucyl-tRNA synthetase;7804;11387;3074;5440;3983;3217;5810.407556;-1.22578414;0.377745539;-3.244999647;0.001174508;0.003086891
gene1113;SAOUHSC_01160;ABD30268.1;3920912;conserved hypothetical protein;1949;2460;175;1417;1119;843;1045.020227;-0.318996898;0.339980127;-0.938281015;0.348100013;0.442154892
gene1114;SAOUHSC_01161;ABD30269.1;NA;truncated transposase;268;426;22;262;124;191;165.8046606;-0.157136317;0.431008288;-0.364578412;0.715426132;0.777674175
gene1115;SAOUHSC_01162;ABD30270.1;3920914;lipoprotein signal peptidase;1353;1901;168;1488;1344;1555;1072.603371;0.451706014;0.293190772;1.540655635;0.12340062;0.18489819
gene1116;SAOUHSC_01163;ABD30271.1;3920915;conserved hypothetical protein;6208;7514;1483;9274;7930;8269;6017.777941;0.553513864;0.25338929;2.184440639;0.028929885;0.05298003
gene1117;SAOUHSC_01164;ABD30272.1;3920916;PyrR bifunctional protein;1918;1424;146;2390;1403;1354;1160.064656;0.613176066;0.368901756;1.662166299;0.096479435;0.150323311
gene1118;SAOUHSC_01165;ABD30273.1;3920917;uracil permease putative;7363;2603;140;1635;1059;1136;1728.659969;-1.183691216;0.669777717;-1.767289632;0.077179735;0.12414095
gene1119;SAOUHSC_01166;ABD30274.1;3920918;aspartate carbamoyltransferase;12081;5148;643;1289;864;895;2752.943011;-2.46982889;0.483733989;-5.105758427;3.29E-07;1.86E-06
gene112;SAOUHSC_00119;ABD29300.1;3919828;capsular polysaccharide synthesis enzyme Cap8F;5308;14213;2408;2824;3058;1790;4667.71102;-1.747447314;0.421336645;-4.147389826;3.36E-05;0.000121383
gene1120;SAOUHSC_01168;ABD30275.1;3920919;dihydroorotase;17896;7098;1216;2470;1807;1781;4422.813279;-2.092559272;0.458164471;-4.567266571;4.94E-06;2.18E-05
gene1121;SAOUHSC_01169;ABD30276.1;3920920;carbamoyl-phosphate synthase small subunit;13759;4353;323;2160;1514;1486;2948.81785;-1.648276699;0.645612931;-2.553041646;0.010678673;0.02188528
gene1122;SAOUHSC_01170;ABD30277.1;3920921;carbamoyl-phosphate synthase large subunit;35608;17331;4121;7707;5070;6104;11207.68514;-1.710635404;0.382825833;-4.468442977;7.88E-06;3.31E-05
gene1123;SAOUHSC_01171;ABD30278.1;3920922;orotidine 5'-phosphate decarboxylase;5157;3214;319;1854;1308;1550;1779.040576;-0.773966879;0.417375016;-1.854368014;0.063686528;0.105094294
gene1124;SAOUHSC_01172;ABD30279.1;3920923;orotate phosphoribosyltransferase;4171;2194;287;1908;1153;1587;1534.563624;-0.46224913;0.428338402;-1.079168077;0.280512808;0.371123328
gene1125;SAOUHSC_01173;ABD30280.1;3920924;conserved hypothetical protein;2519;3043;159;2066;1360;1585;1384.905991;0.00617579;0.417874714;0.014779048;0.988208455;0.991106427
gene1126;SAOUHSC_01174;ABD30281.1;3920925;conserved hypothetical protein;2690;2424;635;3180;2441;2248;2065.294175;0.169890843;0.30222065;0.562141742;0.57401945;0.657670526
gene1127;SAOUHSC_01175;ABD30282.1;3920926;fibronectin-binding protein A-related;7835;6644;520;10569;9119;6883;5582.333418;0.958280145;0.386928555;2.476633305;0.013262809;0.026603405
gene1128;SAOUHSC_01176;ABD30283.1;3920927;guanylate kinase;19203;24546;1936;6161;5507;5046;8218.153738;-1.328125844;0.304538283;-4.361112931;1.29E-05;5.16E-05
